building_id,district_id,ward_id,count_floors_pre_eq,count_floors_post_eq,floors_diff,mun_id,grade
390b792706e,39,392009,3,0,3,3920,5
390b792806b,39,392009,3,0,3,3920,5
3964a81e8a5,39,394403,3,0,3,3944,5
3964b1a7693,39,394404,3,0,3,3944,5
397b284ef69,39,395007,3,0,3,3950,5
38c46e9503c,39,390102,3,0,3,3901,5
237ac51d260f,39,390102,3,0,3,3901,5
38c49e44314,39,390107,3,0,3,3901,5
38c49e4437a,39,390107,3,0,3,3901,5
237d1f1f0666,39,390203,3,0,3,3902,5
38c83b54d7e,39,390204,3,0,3,3902,5
38c83b54fd0,39,390204,3,0,3,3902,5
38c844dea9a,39,390205,3,0,3,3902,5
38e9d5795a6,39,391106,3,0,3,3911,5
38d7187d8b6,39,390603,3,0,3,3906,5
38e9a5c9f46,39,391101,3,0,3,3911,5
38e9c266207,39,391104,3,0,3,3911,5
38ed859c286,39,391205,3,0,3,3912,5
23947977a106,39,391206,3,0,3,3912,5
38f16ef8d69,39,391310,3,0,3,3913,5
38f178819c6,39,391311,3,0,3,3913,5
2396eb5199cf,39,391311,3,0,3,3913,5
38f18b943a2,39,391313,3,0,3,3913,5
38f1951e4af,39,391314,3,0,3,3913,5
38f4d2d070e,39,391401,3,0,3,3914,5
239903c28cbe,39,391401,3,0,3,3914,5
38fc4629466,39,391601,3,0,3,3916,5
38fc4629e97,39,391601,3,0,3,3916,5
38fc4fb2bb1,39,391602,3,0,3,3916,5
23a011c733c6,39,391704,3,0,3,3917,5
390025fb610,39,391705,3,0,3,3917,5
390b6f9d731,39,392008,3,0,3,3920,5
3900390e0bf,39,391707,3,0,3,3917,5
39004c20dbf,39,391709,3,0,3,3917,5
39004c2184b,39,391709,3,0,3,3917,5
39004c21c8e,39,391709,3,0,3,3917,5
390405cd820,39,391809,3,0,3,3918,5
23a6fc09775e,39,392001,3,0,3,3920,5
390b366598e,39,392002,3,0,3,3920,5
390b497a3dc,39,392004,3,0,3,3920,5
390b5c8b713,39,392006,3,0,3,3920,5
390b661455b,39,392007,3,0,3,3920,5
390b6614624,39,392007,3,0,3,3920,5
390b661481a,39,392007,3,0,3,3920,5
390b6614b36,39,392007,3,0,3,3920,5
23a71fccfbdf,39,392007,3,0,3,3920,5
390b661536a,39,392007,3,0,3,3920,5
390b6f9e8c3,39,392008,3,0,3,3920,5
390b7927327,39,392009,3,0,3,3920,5
390b82b0946,39,392010,3,0,3,3920,5
390b82b0d27,39,392010,3,0,3,3920,5
390b82b2c6e,39,392010,3,0,3,3920,5
390b95c38fc,39,392012,3,0,3,3920,5
23a73d9abe9e,39,392012,3,0,3,3920,5
390ba8d62dc,39,392014,3,0,3,3920,5
390bb260512,39,392015,3,0,3,3920,5
23a950150957,39,392101,3,0,3,3921,5
390ee688ca7,39,392101,3,0,3,3921,5
23adf82cf097,39,392301,3,0,3,3923,5
39166cf4258,39,392303,3,0,3,3923,5
23ae0418d5bf,39,392303,3,0,3,3923,5
39166cf4a25,39,392303,3,0,3,3923,5
3916767db8e,39,392304,3,0,3,3923,5
3916767dbf2,39,392304,3,0,3,3923,5
3916767e684,39,392304,3,0,3,3923,5
3916767ea0b,39,392304,3,0,3,3923,5
39168007278,39,392305,3,0,3,3923,5
23ae10048436,39,392305,3,0,3,3923,5
39168007661,39,392305,3,0,3,3923,5
23ae21e61f66,39,392308,3,0,3,3923,5
23ae21e63ea7,39,392308,3,0,3,3923,5
391a564fe03,39,392408,3,0,3,3924,5
391dcd3a9ba,39,392501,3,0,3,3925,5
23b2a044a50f,39,392501,3,0,3,3925,5
