building_id,grade,ward_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq
a374d848cb,1,70204,2,2,40,874,18
a3b23cf915,1,70307,3,3,30,550,21
a49d147620,1,70701,2,2,100,700,18
a49d1479a0,1,70701,2,2,20,800,20
a49e45a576,1,70703,2,2,22,600,20
a49e45a7d1,1,70703,2,2,23,500,16
a4a0a7fbf4,1,70707,2,2,18,600,15
a4a1d92bb2,1,70709,2,2,30,900,20
a4a1d92e06,1,70709,2,2,30,600,18
a5c71a74ff,1,71201,2,2,4,550,19
a5c71a7d9b,1,71201,2,2,12,400,18
a5c7b2fe9b,1,71202,2,2,12,475,19
a5c7b2ff73,1,71202,2,2,5,340,16
a5c7b305a4,1,71202,2,2,7,450,19
679d2f40da6,1,71203,2,2,5,410,19
a5c8e42d8f,1,71204,2,2,21,300,17
a5c8e42ebf,1,71204,2,2,16,375,17
a5c8e42f87,1,71204,1,1,22,260,11
a5c8e432a8,1,71204,2,2,3,340,17
679dedfa4ae,1,71205,2,2,21,300,17
a5ca155774,1,71206,2,2,20,390,18
679e4d5df86,1,71206,2,2,19,400,18
a5ca1563f0,1,71206,2,2,25,375,17
a5ca1565e6,1,71206,2,2,28,340,17
a5caadedf5,1,71207,2,2,25,312,17
a5caadf42f,1,71207,2,2,22,300,17
a606e14ed3,1,71308,1,1,30,300,9
a5cbdf1b5a,1,71209,2,2,35,350,17
a602b53283,1,71301,2,2,25,400,18
a6047ef5a5,1,71304,2,2,20,300,17
a606e14e7d,1,71308,2,2,30,400,18
a60779e558,1,71309,1,1,40,700,10
a67d7e55c1,1,71507,1,1,5,580,10
a681aa6fb6,1,71514,2,2,4,320,15
a681aa7fb4,1,71514,2,2,7,520,17
a6b61e27c8,1,71602,2,2,30,500,20
a6b61e288f,1,71602,2,2,30,400,16
6831d2da536,1,71602,2,2,40,500,16
a6b6b6bbf4,1,71603,2,2,24,400,14
a6b8808104,1,71606,2,2,30,500,18
a6b88081c9,1,71606,1,1,3,200,9
a6b8808296,1,71606,1,1,30,500,12
68c6767581e,1,72001,3,3,12,430,21
68c7948c856,1,72004,2,2,35,264,16
a7a5ba7ba2,1,72004,2,2,3,340,15
a7a6531156,1,72005,2,2,24,410,18
a7a8b56dae,1,72009,3,3,10,290,21
a7df8b80f1,1,72101,1,1,40,450,10
a7df8b85a6,1,72101,2,2,60,400,16
a7df8b87f8,1,72101,2,2,23,500,18
a7e0241776,1,72102,2,2,61,500,20
a7e0241b03,1,72102,2,2,22,300,18
a7e0bcaf1b,1,72103,2,2,38,500,17
a7e0bcaf81,1,72103,2,2,30,420,20
a7e1554731,1,72104,2,2,40,500,17
a7e1eddaf1,1,72105,2,2,28,700,18
a7e1eddbb9,1,72105,2,2,50,500,18
a7e28672ff,1,72106,1,1,28,500,9
a7e3b79f37,1,72108,2,2,60,375,20
a8588adcbf,1,72304,2,2,8,380,15
a8588ae623,1,72304,2,2,10,320,15
a85a54a292,1,72307,2,2,18,325,16
a85a54b558,1,72307,2,2,12,280,14
a8cdf6ada9,1,72501,3,3,20,560,20
a8cf27d8b0,1,72503,3,3,26,566,21
a8d0590556,1,72505,3,3,5,522,21
a8d05905bb,1,72505,3,3,28,520,21
a8d2bb61af,1,72509,3,3,28,480,20
a8d2bb620f,1,72509,3,3,25,480,21
aa36925e7b,1,73106,2,2,4,425,14
aae8ca1e1b,1,73405,2,2,20,250,17
aae8ca2014,1,73405,2,2,10,300,17
aaea93e13f,1,73408,1,1,20,630,9
aaea93eee5,1,73408,2,2,20,560,18
aaea93ef4a,1,73408,2,2,17,700,17
aaea93f7e6,1,73408,2,2,20,800,17
6ad2fbd60d6,1,73409,2,2,20,600,18
aaeb2c8ae3,1,73409,2,2,15,650,17
aaeb2c8cd5,1,73409,2,2,28,450,17
ab24fd7e37,1,73506,3,3,12,408,18
d493a497f9,1,91301,3,2,32,400,23
d4943b9f43,1,91302,3,2,5,280,22
d499992f4f,1,91311,3,2,5,600,24
d1c86188ef,1,90101,2,2,32,405,16
d1c8618ae2,1,90101,2,2,56,530,16
d1c8fa20a1,1,90102,2,2,19,435,14
831d9c551c6,1,90102,2,2,23,526,14
d1c8fa222f,1,90102,2,2,13,448,15
d1c8fa23c1,1,90102,2,2,45,819,16
d1c8fa261b,1,90102,2,2,26,450,16
d1c992b5ef,1,90103,2,2,30,507,16
d1c992be29,1,90103,2,2,14,490,15
d1ca2b4d9a,1,90104,2,2,25,470,14
d1ca2b4e6b,1,90104,2,2,32,468,16
d1cac3e4eb,1,90105,2,2,8,582,14
d1cb5c7972,1,90106,2,2,25,410,16
d1cc8da73a,1,90108,2,2,5,317,14
d1cd263dbd,1,90109,2,2,42,528,13
d1cd263e85,1,90109,2,2,51,777,15
d1cd264207,1,90109,2,2,7,336,14
d1cd26496f,1,90109,1,1,33,406,9
d20828713e,1,90208,2,2,52,574,16
d27d9445a4,1,90405,2,2,3,338,15
d27e2cdbc8,1,90406,3,3,45,462,21
838f3b6a52e,1,90407,3,3,6,388,27
838f9ac380e,1,90408,2,2,5,288,12
d2f5626e93,1,90606,2,2,60,650,16
d2f98e8af2,1,90613,2,2,47,390,16
d2fc8979d4,1,90618,1,1,23,392,8
d2fd221126,1,90619,2,2,2,660,16
d3a6690787,1,90903,2,2,13,250,18
d3a7019ff3,1,90904,2,2,15,280,18
d3a79a3421,1,90905,2,2,15,420,20
d3a79a3482,1,90905,2,2,10,380,20
d3a832cc94,1,90906,2,2,7,240,16
d3a832ce21,1,90906,3,3,12,440,21
d3a832ce89,1,90906,2,2,20,340,18
d3a832d146,1,90906,3,3,10,640,24
d3a963fb86,1,90908,2,2,11,640,20
d3a963fc50,1,90908,2,2,8,480,20
d3a9fc8e1b,1,90909,2,2,12,460,18
d3a9fc8e7f,1,90909,2,2,10,640,20
d3e203d064,1,91003,1,1,40,450,8
d3e334fcf6,1,91005,2,2,3,432,16
d41d060377,1,91102,3,3,19,280,24
d41d06050f,1,91102,2,2,6,320,14
d41e3733f6,1,91104,3,3,41,412,21
d41ecfc88f,1,91105,3,3,6,400,16
d41ecfcc66,1,91105,3,3,4,385,24
d41ecfcf2a,1,91105,3,3,32,374,24
d41f68647e,1,91106,3,3,27,295,21
d42000f587,1,91107,3,3,60,390,21
d42000fcec,1,91107,3,3,9,615,24
d42000ff51,1,91107,3,3,16,425,24
d420998dfb,1,91108,3,3,19,403,24
d420998fec,1,91108,3,3,12,503,21
d493a49ac0,1,91301,3,3,3,450,27
d493a49f70,1,91301,3,3,1,450,27
d493a4a03a,1,91301,3,3,5,700,27
d493a4a540,1,91301,2,2,10,500,16
d493a4b879,1,91301,5,5,3,650,45
d493a4d677,1,91301,2,2,13,500,16
d493a4d8df,1,91301,3,3,8,240,24
d493a4d93a,1,91301,3,3,36,300,24
d493a60f5d,1,91301,2,2,4,320,18
d493a794d0,1,91301,2,2,8,157,18
d493a79a4d,1,91301,2,2,16,206,18
d4943b9db6,1,91302,2,2,79,600,16
d4943b9ee3,1,91302,2,2,3,525,16
d4943ba200,1,91302,2,2,25,650,16
